Orthographic,Klattese
back,back
bar,bar
bat,bat
bell,bell
boat,boat
cake,cake
calm,calm
cap,cap
car,car
case,case
cat,cat
coal,coal
coat,coat
cob,cob
come,come
con,con
cot,cot
cup,cup
cut,cut
dead,dead
deer,deer
down,down
fan,fan
fare,fare
for,for
hair,hair
head,head
hill,hill
kick,kick
kin,kin
line,line
mad,mad
man,man
mar,mar
mass,mass
mat,mat
mate,mate
mean,mean
mole,mole
muss,muss
nick,nick
pad,pad
pan,pan
pass,pass
path,path
pen,pen
pick,pick
piece,piece
pin,pin
pipe,pipe
pit,pit
pot,pot
ram,ram
ran,ran
red,red
rein,rein
rock,rock
run,run
sack,sack
sale,sale
sauce,sauce
set,set
sick,sick
side,side
size,size
soar,soar
suit,suit
sun,sun
well,well
year,year
